CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,Male,1,No,No,60,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Mailed check,23.223458034161865,4946.605974424668,1
2,Female,1,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-Month,Yes,Bank transfer (automatic),36.47781928434853,2020.1267799400625,0
3,Male,0,Yes,No,38,No,Yes,Fiber optic,No,No,No,Yes,No,Yes,One Year,No,Credit card (automatic),71.91780813120528,1396.6595529713181,1
4,Female,0,Yes,Yes,65,No,No phone service,DSL,No internet service,No internet service,No internet service,No,No,No,One Year,Yes,Credit card (automatic),102.48517851912372,4520.158132090551,1
5,Male,1,No,No,42,No,No phone service,DSL,Yes,No internet service,No,Yes,No,No,Two Year,Yes,Credit card (automatic),53.32525670003002,1301.7327251081517,0
6,Female,1,Yes,Yes,45,No,Yes,DSL,No internet service,No,No,No internet service,No,Yes,One Year,Yes,Electronic check,93.65585665092318,3424.5722514006006,1
7,Female,0,No,Yes,49,No,No,No,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-Month,No,Electronic check,101.79118430124328,817.6427899959369,1
8,Female,1,Yes,No,52,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,Two Year,No,Electronic check,70.14486696756146,809.8261601329629,1
9,Male,1,Yes,Yes,58,Yes,Yes,DSL,No,No internet service,Yes,Yes,No internet service,No,Month-to-Month,No,Electronic check,64.80623541245755,4167.79177054023,0
10,Female,0,Yes,No,31,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Two Year,Yes,Bank transfer (automatic),70.05952783464824,2701.330867083129,0
11,Male,0,No,Yes,11,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Two Year,No,Bank transfer (automatic),35.54539904611273,4642.968187280227,0
12,Male,0,Yes,No,54,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,One Year,Yes,Electronic check,104.80560590006996,6787.905146464735,0
13,Female,1,Yes,No,41,Yes,No,Fiber optic,No internet service,No,Yes,No,No,Yes,Two Year,No,Bank transfer (automatic),118.49580722480195,2621.6139089968556,1
14,Female,0,Yes,No,16,No,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,One Year,No,Electronic check,76.85219526733448,4239.429589943817,0
15,Female,0,Yes,No,25,No,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Two Year,Yes,Bank transfer (automatic),73.90333262980472,6430.370705243634,0
16,Male,1,No,No,26,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Two Year,Yes,Credit card (automatic),34.927082885936784,7975.675988304201,0
17,Male,0,Yes,Yes,3,No,No,DSL,No,Yes,No internet service,Yes,Yes,No,Month-to-Month,No,Electronic check,89.40248499486972,2428.2821656640867,1
18,Female,1,No,No,36,No,Yes,No,No internet service,Yes,No,Yes,Yes,No,Month-to-Month,No,Electronic check,51.67593357634935,943.0396123801683,0
19,Male,1,No,Yes,12,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Mailed check,32.61755109908348,2851.823687751173,1
